Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-08-14,4,7,2.008,2.948,27,28,1.318,1.212,1512,1143,481.042,368.895,1.3228346456692914,1.2729907100841067,1.3036620500810143
2019-08-15,8,9,1.3659999999999999,1.535,50,28,1.327,1.078,1753,1329,484.06300000000005,398.21,1.3190368698269375,1.2960137899555222,1.3064574720969404
2019-08-18,6,7,1.2109999999999999,4.323,23,28,2.293,1.6969999999999998,1372,1181,386.73,337.18699999999995,1.1617273497036409,1.2288705698295814,1.2801429025102622
2019-08-19,4,2,2.502,1.111,42,33,1.694,1.234,1322,1025,357.019,319.748,1.2897560975609756,1.2593133336952786,1.28189075625795
2019-08-20,3,4,1.994,1.819,30,22,1.712,1.244,1660,1053,456.759,328.835,1.5764482431149098,1.4178807884050943,1.3354466655189365
2019-08-21,7,4,1.68,1.3519999999999999,37,32,1.436,1.508,1531,1070,395.61800000000005,321.986,1.4308411214953272,1.4243609549502108,1.3527911127383574
2019-08-22,3,4,2.339,1.931,24,29,0.763,0.899,1814,1418,560.011,492.56800000000004,1.2792665726375176,1.351813763793864,1.3394230141104895
2019-08-25,8,7,1.5759999999999998,2.65,34,16,1.162,1.06,1293,1004,390.711,301.184,1.2878486055776892,1.3198311846857766,1.330045848677233
2019-08-26,8,4,1.829,4.225,13,12,0.5,0.975,1280,998,413.35400000000004,327.372,1.282565130260521,1.3011981574731488,1.3214129905983845
2019-08-27,8,3,2.846,1.749,14,10,1.331,1.031,1111,1024,585.719,285.378,1.0849609375,1.1930795474865743,1.278421707463479
2019-08-28,14,2,3.304,1.5419999999999998,26,11,0.7440000000000001,1.06,1444,1135,483.591,325.112,1.2722466960352423,1.2326631217609083,1.277298978096793
2019-08-29,6,10,1.6480000000000001,2.086,20,18,1.2409999999999999,0.983,1200,1242,350.67900000000003,269.653,0.966183574879227,1.0994233483200677,1.2207325404845653
2019-09-02,4,5,1.943,2.251,30,16,1.515,1.756,1393,960,335.55400000000003,262.39799999999997,1.4510416666666666,1.2752325074933673,1.2626069274650424
2019-09-03,9,10,0.97,1.432,18,6,0.9179999999999999,0.76,1222,974,384.44300000000004,293.39099999999996,1.2546201232032854,1.2649263153483263,1.2611547812242283
2019-09-04,3,3,2.595,0.266,39,27,1.2409999999999999,1.575,1662,1184,403.022,309.07599999999996,1.4037162162162162,1.3343212657822714,1.2870750422984043
2019-09-05,9,8,2.775,2.887,48,35,1.5730000000000002,1.3419999999999999,1248,1167,384.814,323.647,1.069408740359897,1.2018650030710842,1.2474993508288104
2019-09-08,6,5,2.4859999999999998,1.5719999999999998,63,46,1.4409999999999998,1.671,1265,904,328.254,259.072,1.3993362831858407,1.3006006431284625,1.2751060659215563
2019-09-09,6,3,3.3139999999999996,2.414,29,9,0.9059999999999999,0.644,1407,1021,404.98400000000004,311.67,1.3780607247796277,1.339330683954045,1.2938250948707164
2019-09-10,7,4,2.5839999999999996,0.8420000000000001,6,8,1.287,0.836,1503,1045,401.135,328.838,1.4382775119617226,1.388804097957884,1.3200891707810662
2019-09-11,8,5,1.949,1.335,21,33,0.8909999999999999,1.401,1703,1317,522.472,470.782,1.293090356871678,1.3409472274147811,1.3151802955132499
